IR Value,Red Value
34919,0
34920,0
34914,0
34910,0
34910,0
34914,0
34927,0
34934,0
34948,0
34963,0
34979,0
34999,0
35008,0
35028,0
35050,0
35063,0
35082,0
35109,0
35129,0
35122,0
35054,0
34926,0
34859,0
34820,0
34794,0
34785,0
34787,0
34800,0
34808,0
34820,0
34831,0
34841,0
34853,0
34869,0
34881,0
34888,0
34883,0
34879,0
34879,0
34877,0
34881,0
34892,0
34897,0
34909,0
34917,0
34935,0
34958,0
34974,0
34987,0
35007,0
35021,0
35041,0
35059,0
35081,0
35087,0
35057,0
34940,0
34848,0
34802,0
34776,0
34759,0
34761,0
34768,0
34777,0
34786,0
34792,0
34802,0
34818,0
34829,0
34842,0
34855,0
34852,0
34854,0
34851,0
34845,0
34851,0
34848,0
34857,0
34865,0
34883,0
34896,0
34921,0
34941,0
34949,0
34967,0
35115,0
35119,0
35113,0
35107,0
35107,0
35111,0
35109,0
35114,0
35118,0
35130,0
35146,0
35155,0
35169,0
35176,0
35190,0
35197,0
35217,0
35237,0
35251,0
35263,0
35265,0
35225,0
35124,0
35065,0
35019,0
34998,0
34989,0
34991,0
34997,0
35007,0
35014,0
35026,0
35045,0
35054,0
35073,0
35074,0
35081,0
35076,0
35066,0
35064,0
35063,0
35067,0
35068,0
35076,0
35088,0
35096,0
35103,0
35117,0
35129,0
35142,0
35149,0
35166,0
35181,0
35202,0
35204,0
35183,0
35099,0
35026,0
34987,0
34959,0
34937,0
34936,0
34936,0
34951,0
34963,0
34970,0
34985,0
34994,0
35007,0
35013,0
35014,0
35019,0
35009,0
